2026-06-22T00:31:04.016495Z  INFO Storing genesis block hash=0xd4e5…8fa3
2026-06-22T00:31:04.024825Z  INFO Auto-tune: available RAM 34 GB, headroom 9 GB, usable 25 GB, preimage estimate 116 GB -> mmap mode, flush every 1000000
2026-06-22T00:31:04.025071Z  INFO Reading preimage file: xatu-preimages/preimages.rlp (mode: mmap)
2026-06-22T00:31:04.025120Z  INFO Preimage file size: 108493 MB
2026-06-22T00:31:04.056139Z  INFO Skipped gethdbdump header (0 bytes)
2026-06-22T00:48:29.284338Z  INFO 86% | 1535100000 preimage entries parsed...
2026-06-22T00:48:34.292360Z  INFO 87% | 1542200000 preimage entries parsed...
2026-06-22T00:48:39.297334Z  INFO 87% | 1549500000 preimage entries parsed...
2026-06-22T00:48:44.309685Z  INFO 87% | 1556800000 preimage entries parsed...
2026-06-22T00:48:49.371261Z  INFO 88% | 1564400000 preimage entries parsed...
2026-06-22T00:48:54.513415Z  INFO 88% | 1571700000 preimage entries parsed...
2026-06-22T00:48:59.597218Z  INFO 89% | 1579100000 preimage entries parsed...
2026-06-22T00:49:04.613725Z  INFO 89% | 1586200000 preimage entries parsed...
2026-06-22T00:49:09.725804Z  INFO 89% | 1593400000 preimage entries parsed...
2026-06-22T00:49:14.727186Z  INFO 90% | 1600800000 preimage entries parsed...
2026-06-22T00:49:19.776561Z  INFO 90% | 1608300000 preimage entries parsed...
2026-06-22T00:49:24.860143Z  INFO 91% | 1615500000 preimage entries parsed...
2026-06-22T00:49:29.908090Z  INFO 91% | 1623100000 preimage entries parsed...
2026-06-22T00:49:34.996204Z  INFO 91% | 1630400000 preimage entries parsed...
2026-06-22T00:49:40.075622Z  INFO 92% | 1637500000 preimage entries parsed...
2026-06-22T00:49:45.092451Z  INFO 92% | 1645100000 preimage entries parsed...
2026-06-22T00:49:50.123133Z  INFO 93% | 1652100000 preimage entries parsed...
2026-06-22T00:49:55.125474Z  INFO 93% | 1659600000 preimage entries parsed...
2026-06-22T00:50:00.238167Z  INFO 94% | 1666900000 preimage entries parsed...
2026-06-22T00:50:05.250673Z  INFO 94% | 1674200000 preimage entries parsed...
2026-06-22T00:50:10.263398Z  INFO 94% | 1681300000 preimage entries parsed...
2026-06-22T00:50:15.269406Z  INFO 95% | 1688300000 preimage entries parsed...
2026-06-22T00:50:20.340283Z  INFO 95% | 1695800000 preimage entries parsed...
2026-06-22T00:50:25.346173Z  INFO 96% | 1702900000 preimage entries parsed...
2026-06-22T00:50:30.407504Z  INFO 96% | 1710800000 preimage entries parsed...
2026-06-22T00:50:35.494210Z  INFO 96% | 1718100000 preimage entries parsed...
2026-06-22T00:50:40.629399Z  INFO 97% | 1725800000 preimage entries parsed...
2026-06-22T00:50:45.726394Z  INFO 97% | 1733400000 preimage entries parsed...
2026-06-22T00:50:50.813089Z  INFO 98% | 1740700000 preimage entries parsed...
2026-06-22T00:50:55.818932Z  INFO 98% | 1748300000 preimage entries parsed...
2026-06-22T00:51:00.906484Z  INFO 99% | 1755900000 preimage entries parsed...
2026-06-22T00:51:05.984646Z  INFO 99% | 1763700000 preimage entries parsed...
2026-06-22T00:51:11.003651Z  INFO 99% | 1771200000 preimage entries parsed...
2026-06-22T00:51:11.898929Z  INFO Parsed 1772541586 entries (416358752 addrs, 1356182834 slots) in 1207.8s
2026-06-22T00:51:11.912067Z  INFO Preimage files mmapped (416358752 addrs = 20647 MB, 1356182834 slots = 82774 MB)
2026-06-22T00:51:11.912230Z  INFO 1772541586 unique preimages loaded
2026-06-22T00:51:11.912292Z  INFO Reading code file: gethdump/mainnet/code.rlp
2026-06-22T00:51:11.912308Z  INFO Code file size: 13518 MB
2026-06-22T00:51:12.046978Z  INFO Skipped gethdbdump header (22 bytes)
2026-06-22T00:53:38.882875Z  INFO Parsed 2444221 code entries in 146.8s
2026-06-22T00:53:38.957172Z  INFO Collect phase: streaming snapshot file: gethdump/mainnet/snapshot.rlp
2026-06-22T00:53:38.957251Z  INFO Snapshot file size: 143119 MB
2026-06-22T00:53:38.997064Z  INFO Skipped gethdbdump header (26 bytes)
2026-06-22T00:53:39.346653Z  WARN Skipped account with keccak 0000141a0f9bd584c565a55beb0555a0ae78f7e3a8022ed856083e58febdd420, has_preimage=false
2026-06-22T00:53:39.347002Z  WARN Skipped account with keccak 00001789b1b16c7f8d8c8c8079a15f7a7038b83c1a11c5fbff1d0dffeb9881a8, has_preimage=false
2026-06-22T00:53:39.347044Z  WARN Skipped account with keccak 00001912e635e9947f57ee52e3a70eb186f9ecb18fb2797ee0323ce03b67f6e0, has_preimage=false
2026-06-22T00:53:39.347071Z  WARN Skipped account with keccak 00001aaab4bc46883e9e7876c7ac15800e3e703c99f853fb8ef765c481ef431a, has_preimage=false
2026-06-22T00:53:39.347119Z  WARN Skipped account with keccak 00001dbb47fb099f26c2770c270be2bae750ed97eb3dbd86aee999b42ff790ce, has_preimage=false
2026-06-22T00:53:39.347130Z  WARN Skipped account with keccak 00001df85e866094efc5c2df9d08caecb37a3a795970ce627ed935388fb228ca, has_preimage=false
2026-06-22T00:53:39.347168Z  WARN Skipped account with keccak 00001f01c1c5abf36785c14391f2cc032be6a0df20ed1050c22e77e004a34e81, has_preimage=false
2026-06-22T00:53:39.347179Z  WARN Skipped account with keccak 00001f35554fe72dbec92f5d34298cdad79ad3c02974ff2bb4291e902395c205, has_preimage=false
2026-06-22T00:53:39.347276Z  WARN Skipped account with keccak 00002521df04cfd53651a0343596b3e851e23675cf234801a4e1ba36c1603cca, has_preimage=false
2026-06-22T00:53:39.347327Z  WARN Skipped account with keccak 0000296065647d4b83f9eb948ccd7ef212ceb23ae7d55bc773d6d7b1a197efc8, has_preimage=false
2026-06-22T00:53:44.896872Z  INFO 0% (30 MB / 143119 MB) | 589672 accounts, 0 storage | 6 MB/s | ETA 397m28s
2026-06-22T00:53:50.667446Z  INFO 0% (60 MB / 143119 MB) | 1179399 accounts, 0 storage | 5 MB/s | ETA 476m51s
2026-06-22T00:53:57.285865Z  INFO 0% (90 MB / 143119 MB) | 1769101 accounts, 0 storage | 5 MB/s | ETA 476m45s
2026-06-22T00:54:03.872688Z  INFO 0% (121 MB / 143119 MB) | 2358726 accounts, 0 storage | 5 MB/s | ETA 476m39s
2026-06-22T00:54:13.523241Z  INFO 0% (151 MB / 143119 MB) | 2948607 accounts, 0 storage | 4 MB/s | ETA 595m42s
2026-06-22T00:54:18.801277Z  INFO 0% (171 MB / 143119 MB) | 3341721 accounts, 0 storage | 4 MB/s | ETA 595m36s
2026-06-22T00:54:23.842611Z  INFO 0% (191 MB / 143119 MB) | 3735003 accounts, 0 storage | 4 MB/s | ETA 595m31s
2026-06-22T00:54:30.511666Z  INFO 0% (222 MB / 143119 MB) | 4324775 accounts, 0 storage | 4 MB/s | ETA 595m24s
2026-06-22T00:54:38.346791Z  INFO 0% (242 MB / 143119 MB) | 4718117 accounts, 0 storage | 4 MB/s | ETA 595m19s
2026-06-22T00:54:45.376168Z  INFO 0% (262 MB / 143119 MB) | 5111198 accounts, 0 storage | 3 MB/s | ETA 793m38s
2026-06-22T00:54:51.237089Z  INFO 0% (282 MB / 143119 MB) | 5504330 accounts, 0 storage | 3 MB/s | ETA 793m32s
2026-06-22T00:55:01.524846Z  INFO 0% (313 MB / 143119 MB) | 6094014 accounts, 0 storage | 3 MB/s | ETA 793m22s
2026-06-22T00:55:08.110912Z  INFO 0% (343 MB / 143119 MB) | 6683628 accounts, 0 storage | 3 MB/s | ETA 793m12s
2026-06-22T00:55:13.294767Z  INFO 0% (363 MB / 143119 MB) | 7076753 accounts, 0 storage | 3 MB/s | ETA 793m5s
2026-06-22T00:55:18.579969Z  INFO 0% (383 MB / 143119 MB) | 7470153 accounts, 0 storage | 3 MB/s | ETA 792m58s
2026-06-22T00:55:28.239333Z  INFO 0% (404 MB / 143119 MB) | 7863338 accounts, 0 storage | 3 MB/s | ETA 792m51s
2026-06-22T00:55:34.578814Z  INFO 0% (434 MB / 143119 MB) | 8452886 accounts, 0 storage | 3 MB/s | ETA 792m41s
2026-06-22T00:55:40.751264Z  INFO 0% (454 MB / 143119 MB) | 8846013 accounts, 0 storage | 3 MB/s | ETA 792m35s
